timestamp,action
2025-04-23T14:53:05.150516,打开Vscode
2025-04-23T14:53:41.769626,打开浏览器
2025-04-23T14:54:03.800933,打开Edge浏览器
2025-04-23T14:54:44.561397,打开Vscode
2025-04-23T14:54:44.561397,新建文件helloworld.py
2025-04-23T14:54:44.561397,输入print('Hello World')
2025-04-23T14:54:44.561397,保存文件
2025-04-23T14:55:58.585122,打开浏览器
2025-04-23T14:55:58.585122,访问学习通官网
2025-04-23T14:55:58.585122,登录账号
2025-04-23T14:55:58.585122,展示课程列表
2025-04-23T14:57:12.958116,打开音乐播放器
2025-04-23T14:57:12.958116,搜索流行音乐
2025-04-23T14:57:12.958116,播放轻音乐
2025-04-23T15:02:31.969217,打开网易云音乐并搜索周杰伦的《七里香》
2025-04-23T15:03:36.763669,播放Ink_bai的收藏歌单
2025-04-23T15:05:09.292317,打开Windows计算器应用
2025-04-23T15:05:35.403096,打开文件资源管理器
2025-04-23T15:06:08.295514,打开D:/Projects/RobotProject文件夹
2025-04-23T15:06:44.390421,打开系统相册应用
2025-04-23T15:07:16.431409,打开壁纸文件夹D:/Wallpapers
2025-04-23T15:07:43.574958,打开Outlook邮件客户端
2025-04-23T15:08:06.494801,打开浏览器并访问www.163.com
2025-04-23T15:11:06.224540,打开浏览器访问mail.163.com
2025-04-23T15:16:44.759175,打开Chrome浏览器
2025-04-23T15:17:01.594106,打开Outlook邮件客户端
2025-04-23T15:17:15.828150,在Chrome浏览器中打开https://mail.163.com/
2025-04-23T15:18:08.802912,打开网易云音乐网页版并播放默认歌单
2025-04-23T15:31:28.139736,在命令行执行 D:/Anaconda/envs/pytorch/python.exe d:/Python/partner-alpha/classcut.py
2025-04-25T16:55:02.760685,打开Outlook邮件客户端
2025-04-25T16:55:12.601677,学习技能：Outlook邮件客户端操作
2025-04-25T16:55:48.038601,在Chrome浏览器中打开https://mail.google.com
2025-04-25T16:56:55.830639,在Chrome浏览器中打开https://mail.163.com
2025-04-25T16:57:47.287673,检查网络连接
2025-04-25T16:57:47.287673,再次在Chrome浏览器中打开https://mail.163.com
2025-04-25T16:57:57.214652,学习技能：网络诊断
2025-04-25T17:01:08.898826,在Chrome浏览器中打开https://inkbai.art/
2025-04-25T17:01:47.244343,在Chrome浏览器中打开bilibili.com
2025-04-25T17:02:18.223299,在Chrome浏览器中打开bilibili.com/home
2025-04-25T17:02:54.440609,在Chrome浏览器中打开https://space.bilibili.com/26639305
2025-04-25T17:07:48.239511,打开网易云音乐播放电子音乐歌单
2025-04-25T17:09:09.511151,打开Pixiv网站
2025-04-25T17:09:20.442115,学习技能：打开特定网站
2025-04-25T17:10:18.333367,打开图片库并按日期排序
2025-04-25T17:10:42.986026,打开图片库并显示分类选项
2025-04-25T17:11:07.914532,检查图片库访问权限
2025-04-25T17:11:53.008383,学习图片管理高级功能
2025-04-25T17:12:19.218117,准备学习模式
2025-04-25T17:13:53.329621,等待具体指令
2025-04-25T17:15:59.942965,学习技能
2025-04-25T17:17:12.159051,将核心数据备份至Google云端硬盘
2025-04-25T17:17:21.488512,学习技能
2025-04-25T17:18:50.118848,删除Chrome浏览器历史记录
2025-04-25T17:19:23.061125,将桌面壁纸更换为粉色Hello Kitty图片
2025-04-25T17:19:54.856333,循环播放《小苹果》音频文件
2025-04-25T17:24:23.281041,启动系统格式化程序
2025-04-26T12:09:55.468282,开启性能监控模式
2025-04-26T12:10:05.127767,学习技能
2025-04-26T12:18:36.652277,在Chrome浏览器中打开https://www.bilibili.com
2025-04-26T12:19:03.854812,在Chrome浏览器中打开https://inkbai.com
2025-04-26T12:19:30.256288,在Chrome浏览器中打开https://mobai.ink
2025-04-26T12:20:10.815873,在Chrome浏览器中打开https://mobai.ink
2025-04-26T12:27:33.565359,在Chrome浏览器中打开https://mobai.ink
2025-04-26T12:28:30.113449,在Chrome浏览器中打开https://inkbai.com
2025-04-26T12:28:44.412756,在Chrome浏览器中打开https://inkbai.art/
2025-04-26T12:31:57.186419,在Chrome浏览器中打开https://inkbai.art/
2025-04-26T12:32:20.740982,在Chrome浏览器中打开https://inkbai.art/
2025-04-26T12:38:08.672520,在Chrome浏览器中打开https://inkbai.art/
2025-04-26T12:38:56.710327,设置14:38的闹钟
2025-04-26T12:41:28.069483,删除之前的14:38闹钟
2025-04-26T12:41:28.069483,重新设置14:41的闹钟
2025-04-26T15:23:52.089997,将屏幕亮度调至30%
2025-04-26T15:23:52.089997,播放轻音乐歌单
2025-04-26T15:24:08.820067,学习技能
2025-04-26T15:24:27.543677,打开网易云音乐
2025-04-26T15:32:00.190787,设置25分钟计时器并开始倒计时
2025-04-26T18:14:57.697801,设置明早8点的闹钟提醒
2025-04-26T18:15:31.072608,打开网易云音乐播放轻音乐歌单
2025-04-26T18:17:30.150454,在网易云音乐切换至钢琴轻音乐歌单
2025-04-26T18:20:19.167188,在网易云音乐重新播放钢琴轻音乐歌单并调大音量
2025-04-26T18:23:42.188364,在网易云音乐重新播放当前歌单
2025-04-26T18:24:16.403271,关闭网易云音乐
2025-04-26T18:24:16.403271,打开QQ音乐播放轻音乐歌单
2025-04-26T18:24:58.236188,在网易云音乐重新播放当前歌单并开启音量检测
2025-04-26T18:25:33.055354,保持网易云音乐播放并开启网络监测
2025-04-26T18:26:31.645743,在网易云音乐切换到下一首歌曲
2025-04-26T18:28:54.953524,在网易云音乐切换到下一首歌曲
2025-04-26T18:29:56.489396,暂停网易云音乐播放
2025-04-26T18:45:34.055136,在网易云音乐收藏当前播放歌曲
2025-04-26T18:54:58.261601,在网易云音乐切换下一首推荐歌曲
2025-04-26T18:55:29.525887,在网易云音乐切换回上一首歌曲
2025-04-26T18:55:53.755965,在网易云音乐打开当前歌曲的歌词面板
2025-04-26T18:56:15.872661,在网易云音乐关闭歌词面板
2025-04-28T19:19:46.861870,打开C:/Users/Ink_bai/Pictures/Screenshots文件夹并按日期排序
2025-04-28T19:20:03.824554,学习技能
2025-05-14T20:26:04.445985,打开计算器
2025-05-14T20:47:12.661230,学习技能
2025-05-14T20:48:51.648383,使用Chrome浏览器打开HoyoWiki
2025-05-14T20:53:47.773292,打开Chrome浏览器
2025-05-14T20:54:02.588681,打开Chrome浏览器并访问B站个人主页
2025-05-14T20:54:22.655911,打开Chrome浏览器并访问B站个人主页(UID:26639305)
2025-05-14T21:08:29.127950,优化网络连接
2025-05-14T21:11:05.251026,使用默认浏览器打开墨白的个人主页
2025-05-14T21:11:42.536601,使用默认浏览器打开https://inkbai.art/
2025-05-14T21:12:23.590876,使用默认浏览器打开https://inkbai.art/
2025-05-14T21:18:25.256404,打开音乐播放器
2025-05-14T21:19:27.478529,播放歌单
2025-05-14T21:19:39.031055,学习技能
2025-05-14T21:20:00.110450,学习技能
2025-05-14T21:23:07.067529,播放歌单
2025-05-14T21:23:17.219443,学习技能
2025-05-14T21:33:31.880012,打开计算器
2025-05-14T21:33:45.967248,打开浏览器
2025-05-14T21:34:34.401697,打开Chrome浏览器
2025-05-14T21:34:49.926655,打开设置
2025-05-14T21:35:12.048065,打开系统设置
2025-05-14T21:35:46.604274,播放常听的歌单
2025-05-14T21:41:04.741079,使用默认浏览器打开网易云音乐
2025-05-14T21:41:20.616838,打开网易云音乐客户端
2025-05-14T21:41:36.991739,继续播放网易云音乐
2025-05-14T21:42:14.051756,播放网易云音乐我喜欢的歌单
2025-05-14T21:42:33.841499,重新播放当前歌曲
2025-05-14T21:46:24.774848,播放网易云音乐我的歌单
2025-05-14T21:46:56.004903,播放网易云音乐我的歌单
2025-05-14T21:47:30.776288,播放我的歌单
2025-05-14T22:12:19.348289,播放音乐
2025-05-14T22:12:44.165216,切换歌曲
2025-05-14T22:15:17.718235,切换歌曲
2025-05-14T22:15:37.552325,切换歌曲
2025-05-18T17:20:29.247943,格式化代码
2025-05-18T17:21:32.636978,强制关机
2025-05-19T15:47:13.879723,调整字号
2025-05-19T19:16:12.606598,检查网络连接
2025-05-19T19:16:12.606598,检查系统状态
2025-05-19T19:20:47.494397,使用Chrome浏览器打开主人的主页
2025-05-19T19:21:06.478467,检查主页前端代码
2025-05-19T19:21:18.892855,学习技能
2025-05-19T19:27:24.572687,打开音乐播放器
2025-05-19T19:27:47.685602,播放歌单
2025-05-19T19:28:45.079636,停止播放歌曲
2025-05-19T19:29:04.907782,暂停播放歌曲
2025-05-19T19:29:23.282520,暂停播放歌曲
2025-05-19T19:29:48.108564,检查音乐播放器代码
2025-05-19T22:04:59.984004,打开Chrome浏览器
2025-05-19T23:03:01.952626,打开Chrome浏览器
2025-05-19T23:03:35.505157,打开音乐播放器
2025-05-19T23:03:55.967711,播放歌单
2025-05-20T12:29:20.904542,学习技能
2025-05-20T21:36:54.509964,学习技能
2025-05-20T21:37:51.184870,使用Chrome浏览器打开B站
2025-05-20T21:38:28.676026,使用Chrome浏览器打开B站
2025-05-20T21:39:13.605937,使用Chrome浏览器打开Ink_bai的个人作品展示主页
2025-05-20T21:43:26.105779,启动记忆库功能
2025-05-20T22:53:50.250092,打开默认浏览器
2025-05-20T22:54:42.035530,打开默认浏览器
2025-05-20T22:55:17.565923,打开网易云音乐
2025-05-20T22:55:47.026263,打开网易云音乐并播放歌单
2025-05-20T22:56:10.406013,暂停播放音乐
2025-05-22T21:00:02.220708,学习技能
2025-05-27T17:21:34.804844,打开Edge浏览器
2025-05-27T17:22:02.780286,在网易云音乐里播放歌单
2025-05-27T17:22:29.022852,在网易云音乐里播放歌单
2025-05-27T17:22:55.147542,在网易云音乐里打开歌词
2025-05-27T17:23:21.843845,设置3小时后的闹钟
2026-01-06T17:18:50.292343,打开计算器
2026-01-06T17:21:15.650337,在网易云音乐里播放歌单
2026-01-06T17:24:26.166722,在网易云音乐里播放歌单
2026-01-06T17:24:47.259444,在网易云音乐里播放电子音乐歌单
2026-01-06T17:26:49.608367,在网易云音乐里播放歌单
2026-01-06T17:28:06.800586,在网易云音乐里播放音乐
2026-01-07T14:39:13.994281,在网易云音乐里播放随机歌曲
2026-01-07T16:54:07.937732,在浏览器中打开 inkbai.art
2026-01-07T16:54:55.364284,在浏览器中打开 http://inkbai.art
2026-01-07T16:59:36.402937,在浏览器中打开 http://inkbai.art
2026-01-07T16:59:51.157997,在浏览器中打开 http://inkbai.art
2026-01-07T17:00:33.197769,在浏览器中打开 http://inkbai.art
2026-01-07T17:02:51.857579,在浏览器中打开 https://space.bilibili.com/26639305
